start_sec,duration,text
33.31,0.00999999999999801,refus d' pas classique où tu dis tu
33.32,2.0690000000000026,refus d' pas classique où tu dis tu laisses<00:00:33.719><c> à</c><00:00:33.879><c> ton</c><00:00:34.079><c> chien</c><00:00:34.559><c> ici</c><00:00:34.879><c> on</c><00:00:35.040><c> va</c><00:00:35.160><c> pas</c><00:00:35.280><c> en</c>
35.389,0.00999999999999801,laisses à ton chien ici on va pas en
35.399,1.7109999999999985,laisses à ton chien ici on va pas en parler<00:00:35.719><c> voire</c><00:00:36.120><c> même</c><00:00:36.280><c> on</c><00:00:36.399><c> va</c><00:00:36.520><c> l'oublier</c>
37.11,0.00999999999999801,parler voire même on va l'oublier
37.12,2.0700000000000003,parler voire même on va l'oublier pourquoi<00:00:37.680><c> parce</c><00:00:38.079><c> que</c><00:00:38.160><c> quand</c><00:00:38.280><c> tu</c><00:00:38.520><c> es</c><00:00:38.640><c> pas</c><00:00:38.719><c> là</c><00:00:39.040><c> et</c>
39.19,0.010000000000005116,pourquoi parce que quand tu es pas là et
39.2,1.5499999999999972,pourquoi parce que quand tu es pas là et bien<00:00:39.320><c> il</c><00:00:39.440><c> y</c><00:00:39.559><c> a</c><00:00:39.719><c> personne</c><00:00:40.039><c> pour</c><00:00:40.320><c> contrôler</c><00:00:40.600><c> ton</c>
40.75,0.00999999999999801,bien il y a personne pour contrôler ton
40.76,1.5100000000000051,bien il y a personne pour contrôler ton chien<00:00:41.000><c> et</c><00:00:41.200><c> lui</c><00:00:41.360><c> dire</c><00:00:41.520><c> de</c><00:00:41.640><c> pas</c><00:00:41.760><c> le</c><00:00:41.840><c> faire</c><00:00:42.079><c> donc</c>
42.27,0.00999999999999801,chien et lui dire de pas le faire donc
42.28,1.7890000000000015,chien et lui dire de pas le faire donc dès<00:00:42.559><c> que</c><00:00:42.640><c> tu</c><00:00:42.760><c> seras</c><00:00:42.960><c> plus</c><00:00:43.120><c> là</c><00:00:43.280><c> il</c><00:00:43.480><c> va</c><00:00:43.640><c> le</c><00:00:43.719><c> faire</c>
44.069,0.00999999999999801,dès que tu seras plus là il va le faire
44.079,2.3100000000000023,dès que tu seras plus là il va le faire direct<00:00:44.719><c> nous</c><00:00:44.920><c> ce</c><00:00:45.000><c> qu'on</c><00:00:45.200><c> veut</c><00:00:45.320><c> c'est</c><00:00:45.680><c> intégrer</c>
46.389,0.00999999999999801,direct nous ce qu'on veut c'est intégrer
46.399,2.3100000000000023,direct nous ce qu'on veut c'est intégrer ça<00:00:46.680><c> dans</c><00:00:46.879><c> le</c><00:00:47.000><c> comportement</c><00:00:47.480><c> du</c><00:00:47.680><c> chien</c><00:00:48.199><c> et</c><00:00:48.440><c> que</c>
48.709,0.00999999999999801,ça dans le comportement du chien et que
48.719,2.6310000000000002,ça dans le comportement du chien et que tu<00:00:48.920><c> sois</c><00:00:49.199><c> là</c><00:00:49.440><c> ou</c><00:00:49.520><c> pas</c><00:00:49.719><c> là</c><00:00:50.160><c> ça</c><00:00:50.320><c> soit</c><00:00:50.680><c> ok</c><00:00:50.960><c> pour</c><00:00:51.120><c> lui</c>
51.35,0.00999999999999801,tu sois là ou pas là ça soit ok pour lui
51.36,1.9500000000000028,tu sois là ou pas là ça soit ok pour lui de<00:00:51.680><c> pas</c><00:00:51.879><c> manger</c><00:00:52.199><c> tout</c><00:00:52.359><c> ce</c><00:00:52.480><c> qui</c><00:00:52.680><c> traîne</c><00:00:53.079><c> que</c><00:00:53.199><c> ça</c>
53.31,0.00999999999999801,de pas manger tout ce qui traîne que ça
53.32,2.270000000000003,de pas manger tout ce qui traîne que ça soit<00:00:53.520><c> comestible</c><00:00:54.239><c> ou</c><00:00:54.359><c> non</c><00:00:54.719><c> quand</c><00:00:54.920><c> je</c><00:00:55.039><c> dis</c><00:00:55.399><c> ou</c>
55.59,0.00999999999999801,soit comestible ou non quand je dis ou
55.6,3.1499999999999986,soit comestible ou non quand je dis ou non<00:00:56.199><c> bien</c><00:00:56.399><c> sûr</c><00:00:56.760><c> je</c><00:00:56.920><c> pense</c><00:00:57.320><c> aux</c><00:00:57.640><c> déjections</c><00:00:58.440><c> et</c>
58.75,0.00999999999999801,non bien sûr je pense aux déjections et
58.76,2.0700000000000003,non bien sûr je pense aux déjections et au<00:00:59.000><c> vomis</c><00:00:59.399><c> dans</c><00:00:59.480><c> la</c><00:00:59.600><c> rue</c><00:01:00.039><c> et</c><00:01:00.160><c> aux</c><00:01:00.399><c> choses</c><00:01:00.680><c> comme</c>
60.83,0.010000000000005116,au vomis dans la rue et aux choses comme
60.84,1.9499999999999957,au vomis dans la rue et aux choses comme ça<00:01:01.000><c> qui</c><00:01:01.120><c> sont</c><00:01:01.359><c> vraiment</c><00:01:01.920><c> dégueulasses</c><00:01:02.559><c> et</c><00:01:02.680><c> qui</c>
62.79,0.00999999999999801,ça qui sont vraiment dégueulasses et qui
62.8,2.1099999999999994,ça qui sont vraiment dégueulasses et qui peuvent<00:01:03.160><c> être</c><00:01:03.320><c> extrêmement</c><00:01:04.159><c> dangereuses</c>
64.91,0.010000000000005116,peuvent être extrêmement dangereuses
64.92,1.75,peuvent être extrêmement dangereuses pour<00:01:05.080><c> les</c><00:01:05.280><c> chiens</c><00:01:05.640><c> peut-être</c><00:01:06.040><c> que</c><00:01:06.320><c> une</c><00:01:06.479><c> fois</c>
66.67,0.010000000000005116,pour les chiens peut-être que une fois
66.68,1.468999999999994,pour les chiens peut-être que une fois ton<00:01:06.840><c> chien</c><00:01:07.040><c> a</c><00:01:07.159><c> voulu</c><00:01:07.400><c> manger</c><00:01:07.640><c> quelque</c><00:01:08.000><c> chose</c>
68.149,0.010000000000005116,ton chien a voulu manger quelque chose
68.159,2.070999999999998,ton chien a voulu manger quelque chose et<00:01:08.320><c> que</c><00:01:08.400><c> tu</c><00:01:08.520><c> t'es</c><00:01:08.920><c> jeté</c><00:01:09.280><c> sur</c><00:01:09.439><c> lui</c><00:01:09.680><c> pour</c><00:01:09.840><c> l'en</c>
70.23,0.009999999999990905,et que tu t'es jeté sur lui pour l'en
70.24,1.8299999999999983,et que tu t'es jeté sur lui pour l'en empêcher<00:01:10.840><c> ou</c><00:01:10.960><c> alors</c><00:01:11.159><c> que</c><00:01:11.280><c> tu</c><00:01:11.360><c> as</c><00:01:11.600><c> utilisé</c><00:01:12.000><c> le</c>
72.07,0.010000000000005116,empêcher ou alors que tu as utilisé le
72.08,2.1899999999999977,empêcher ou alors que tu as utilisé le fameux<00:01:12.439><c> tuless</c><00:01:13.439><c> qu'est-ce</c><00:01:13.799><c> qui</c><00:01:13.880><c> s'est</c><00:01:14.040><c> passé</c>
74.27,0.010000000000005116,fameux tuless qu'est-ce qui s'est passé
74.28,1.8689999999999998,fameux tuless qu'est-ce qui s'est passé dans<00:01:14.360><c> la</c><00:01:14.479><c> tête</c><00:01:14.640><c> de</c><00:01:14.720><c> ton</c><00:01:14.880><c> chien</c><00:01:15.080><c> à</c><00:01:15.159><c> ce</c><00:01:15.280><c> moment-là</c>
76.149,0.010000000000005116,dans la tête de ton chien à ce moment-là
76.159,1.1909999999999883,dans la tête de ton chien à ce moment-là la
77.35,0.010000000000005116,la
77.36,2.3100000000000023,la frustration<00:01:18.360><c> la</c><00:01:18.560><c> frustration</c><00:01:19.240><c> si</c><00:01:19.360><c> tu</c><00:01:19.520><c> as</c>
79.67,0.010000000000005116,frustration la frustration si tu as
79.68,1.509999999999991,frustration la frustration si tu as empêché<00:01:20.000><c> ton</c><00:01:20.159><c> chien</c><00:01:20.439><c> de</c><00:01:20.560><c> manger</c><00:01:20.840><c> ce</c><00:01:21.000><c> qu'il</c>
81.19,0.010000000000005116,empêché ton chien de manger ce qu'il
81.2,1.3100000000000023,empêché ton chien de manger ce qu'il avait<00:01:21.439><c> dans</c><00:01:21.479><c> le</c><00:01:21.560><c> viseur</c><00:01:21.960><c> sans</c><00:01:22.119><c> même</c><00:01:22.280><c> qu'il</c>
82.51,0.009999999999990905,avait dans le viseur sans même qu'il
82.52,1.710000000000008,avait dans le viseur sans même qu'il puisse<00:01:22.799><c> analyser</c><00:01:23.159><c> si</c><00:01:23.280><c> ça</c><00:01:23.360><c> se</c><00:01:23.479><c> mangeait</c><00:01:23.920><c> ou</c><00:01:24.000><c> pas</c>
84.23,0.009999999999990905,puisse analyser si ça se mangeait ou pas
84.24,2.430000000000007,puisse analyser si ça se mangeait ou pas il<00:01:24.560><c> s'est</c><00:01:24.799><c> dit</c><00:01:25.200><c> OK</c><00:01:25.360><c> Go</c><00:01:26.000><c> j'y</c><00:01:26.200><c> vais</c><00:01:26.439><c> parce</c><00:01:26.600><c> que</c>
86.67,0.010000000000005116,il s'est dit OK Go j'y vais parce que
86.68,2.6299999999999955,il s'est dit OK Go j'y vais parce que sinon<00:01:26.880><c> je</c><00:01:27.079><c> saurais</c><00:01:27.400><c> même</c><00:01:27.600><c> pas</c><00:01:27.759><c> ce</c><00:01:27.880><c> que</c><00:01:28.320><c> c'est</c>
89.31,0.009999999999990905,sinon je saurais même pas ce que c'est
89.32,1.6300000000000097,sinon je saurais même pas ce que c'est donc<00:01:29.880><c> il</c><00:01:29.960><c> s'est</c><00:01:30.119><c> jeté</c><00:01:30.360><c> dessus</c><00:01:30.600><c> et</c><00:01:30.720><c> qu'est-ce</c>
90.95,0.009999999999990905,donc il s'est jeté dessus et qu'est-ce
90.96,1.75,donc il s'est jeté dessus et qu'est-ce qui<00:01:31.079><c> s'est</c><00:01:31.240><c> passé</c><00:01:31.439><c> les</c><00:01:31.560><c> fois</c><00:01:31.799><c> d'après</c><00:01:32.439><c> par</c>
92.71,0.010000000000005116,qui s'est passé les fois d'après par
92.72,2.230000000000004,qui s'est passé les fois d'après par anticipation<00:01:33.680><c> pour</c><00:01:33.920><c> éviter</c><00:01:34.360><c> la</c><00:01:34.479><c> frustration</c>
94.95,0.009999999999990905,anticipation pour éviter la frustration
94.96,2.3900000000000006,anticipation pour éviter la frustration il<00:01:35.520><c> se</c><00:01:35.759><c> jette</c><00:01:36.119><c> de</c><00:01:36.240><c> plus</c><00:01:36.399><c> en</c><00:01:36.520><c> plus</c><00:01:36.799><c> sur</c><00:01:37.000><c> tout</c><00:01:37.159><c> ce</c>
97.35,0.010000000000005116,il se jette de plus en plus sur tout ce
97.36,1.230000000000004,il se jette de plus en plus sur tout ce qu'<00:01:37.640><c> trouve</c><00:01:38.000><c> qu'est-ce</c><00:01:38.320><c> que</c><00:01:38.399><c> c'est</c>
98.59,0.009999999999990905,qu' trouve qu'est-ce que c'est
98.6,2.0700000000000074,qu' trouve qu'est-ce que c'est exactement<00:01:39.200><c> la</c><00:01:39.320><c> frustration</c><00:01:40.119><c> la</c><00:01:40.240><c> frustration</c>
100.67,0.010000000000005116,exactement la frustration la frustration
100.68,2.1899999999999977,exactement la frustration la frustration c'est<00:01:40.920><c> une</c><00:01:41.159><c> réponse</c><00:01:41.680><c> émotionnelle</c><00:01:42.560><c> souvent</c>
102.87,0.009999999999990905,c'est une réponse émotionnelle souvent
102.88,1.9500000000000028,c'est une réponse émotionnelle souvent liée<00:01:43.280><c> à</c><00:01:43.399><c> de</c><00:01:43.479><c> la</c><00:01:43.600><c> déception</c><00:01:44.119><c> ou</c><00:01:44.200><c> à</c><00:01:44.360><c> de</c><00:01:44.439><c> la</c><00:01:44.560><c> colère</c>
104.83,0.010000000000005116,liée à de la déception ou à de la colère
104.84,2.069999999999993,liée à de la déception ou à de la colère bah<00:01:45.040><c> quand</c><00:01:45.200><c> on</c><00:01:45.320><c> t'a</c><00:01:45.719><c> empêcher</c><00:01:46.320><c> d'avoir</c><00:01:46.719><c> ce</c><00:01:46.840><c> que</c>
106.91,0.010000000000005116,bah quand on t'a empêcher d'avoir ce que
106.92,1.8289999999999935,bah quand on t'a empêcher d'avoir ce que tu<00:01:47.040><c> désirais</c><00:01:47.719><c> ce</c><00:01:47.840><c> que</c><00:01:47.920><c> tu</c><00:01:48.040><c> voulais</c><00:01:48.520><c> c'est</c>
108.749,0.010000000000005116,tu désirais ce que tu voulais c'est
108.759,2.3499999999999943,tu désirais ce que tu voulais c'est hyper<00:01:49.079><c> désagréable</c><00:01:49.759><c> comme</c><00:01:50.000><c> sensation</c><00:01:50.799><c> et</c><00:01:51.000><c> du</c>
111.109,0.010000000000005116,hyper désagréable comme sensation et du
111.119,2.111000000000004,hyper désagréable comme sensation et du coup<00:01:51.320><c> ton</c><00:01:51.520><c> corps</c><00:01:51.840><c> ton</c><00:01:52.000><c> esprit</c><00:01:52.360><c> tout</c><00:01:52.600><c> se</c><00:01:52.840><c> met</c><00:01:53.119><c> en</c>
113.23,0.009999999999990905,coup ton corps ton esprit tout se met en
113.24,2.189000000000007,coup ton corps ton esprit tout se met en marche<00:01:53.560><c> pour</c><00:01:53.880><c> ne</c><00:01:54.119><c> plus</c><00:01:54.320><c> que</c><00:01:54.399><c> ça</c><00:01:54.520><c> se</c><00:01:54.640><c> reproduise</c>
115.429,0.009999999999990905,marche pour ne plus que ça se reproduise
115.439,1.7510000000000048,marche pour ne plus que ça se reproduise c'est<00:01:55.600><c> pour</c><00:01:55.719><c> ça</c><00:01:55.880><c> que</c><00:01:56.000><c> ton</c><00:01:56.200><c> chien</c><00:01:56.640><c> est</c><00:01:56.920><c> de</c><00:01:57.039><c> plus</c>
117.19,0.010000000000005116,c'est pour ça que ton chien est de plus
117.2,2.3499999999999943,c'est pour ça que ton chien est de plus en<00:01:57.360><c> plus</c><00:01:57.759><c> impulsif</c><00:01:58.680><c> à</c><00:01:58.840><c> chaque</c><00:01:59.039><c> fois</c><00:01:59.240><c> que</c><00:01:59.360><c> il</c><00:01:59.479><c> y</c>
119.55,0.010000000000005116,en plus impulsif à chaque fois que il y
119.56,1.0699999999999932,en plus impulsif à chaque fois que il y a<00:01:59.840><c> quelque</c><00:02:00.039><c> chose</c><00:02:00.200><c> qui</c><00:02:00.280><c> pourrait</c>
120.63,0.010000000000005116,a quelque chose qui pourrait
120.64,1.7099999999999937,a quelque chose qui pourrait potentiellement<00:02:01.200><c> se</c><00:02:01.320><c> manger</c><00:02:01.719><c> et</c><00:02:01.920><c> qui</c><00:02:02.039><c> prend</c>
122.35,0.010000000000005116,potentiellement se manger et qui prend
122.36,1.7489999999999952,potentiellement se manger et qui prend même<00:02:02.560><c> pas</c><00:02:02.920><c> le</c><00:02:03.000><c> temps</c><00:02:03.360><c> d'analyser</c><00:02:03.960><c> ce</c><00:02:04.039><c> que</c>
124.109,0.010000000000005116,même pas le temps d'analyser ce que
124.119,1.6700000000000017,même pas le temps d'analyser ce que c'est<00:02:04.439><c> la</c><00:02:04.560><c> première</c><00:02:04.880><c> chose</c><00:02:05.079><c> à</c><00:02:05.159><c> désamorcer</c>
125.789,0.010000000000005116,c'est la première chose à désamorcer
125.799,2.4710000000000036,c'est la première chose à désamorcer c'est<00:02:06.000><c> donc</c><00:02:06.600><c> cette</c><00:02:07.039><c> frustration</c><00:02:08.039><c> donc</c><00:02:08.160><c> pour</c>
128.27,0.009999999999990905,c'est donc cette frustration donc pour
128.28,1.710000000000008,c'est donc cette frustration donc pour ça<00:02:08.440><c> il</c><00:02:08.560><c> va</c><00:02:08.679><c> falloir</c><00:02:08.920><c> bosser</c><00:02:09.280><c> un</c><00:02:09.360><c> petit</c><00:02:09.479><c> peu</c><00:02:09.800><c> des</c>
129.99,0.009999999999990905,ça il va falloir bosser un petit peu des
130.0,2.2700000000000102,ça il va falloir bosser un petit peu des choses<00:02:10.280><c> en</c><00:02:10.440><c> amont</c><00:02:11.039><c> de</c><00:02:11.239><c> cette</c><00:02:11.520><c> méthode</c><00:02:12.000><c> qui</c><00:02:12.160><c> va</c>
132.27,0.009999999999990905,choses en amont de cette méthode qui va
132.28,1.75,choses en amont de cette méthode qui va te<00:02:12.400><c> permettre</c><00:02:12.760><c> de</c><00:02:12.879><c> travailler</c><00:02:13.239><c> le</c><00:02:13.360><c> refus</c><00:02:13.720><c> d'pp</c>
134.03,0.009999999999990905,te permettre de travailler le refus d'pp
134.04,1.75,te permettre de travailler le refus d'pp en<00:02:14.160><c> autocontrôle</c><00:02:14.800><c> et</c><00:02:14.879><c> donc</c><00:02:15.000><c> l'autocontrôle</c>
135.79,0.010000000000019327,en autocontrôle et donc l'autocontrôle
135.8,1.7089999999999748,en autocontrôle et donc l'autocontrôle comme<00:02:16.000><c> je</c><00:02:16.040><c> te</c><00:02:16.160><c> disais</c><00:02:16.599><c> c'est</c><00:02:16.800><c> apprendre</c><00:02:17.239><c> à</c><00:02:17.360><c> ton</c>
137.509,0.010000000000019327,comme je te disais c'est apprendre à ton
137.519,2.069999999999993,comme je te disais c'est apprendre à ton chien<00:02:18.000><c> à</c><00:02:18.120><c> se</c><00:02:18.280><c> gérer</c><00:02:18.599><c> lui-même</c><00:02:19.080><c> à</c><00:02:19.239><c> prendre</c><00:02:19.519><c> les</c>
139.589,0.009999999999990905,chien à se gérer lui-même à prendre les
139.599,1.9510000000000218,chien à se gérer lui-même à prendre les bonnes<00:02:19.879><c> décisions</c><00:02:20.280><c> à</c><00:02:20.519><c> être</c><00:02:20.760><c> acteur</c><00:02:21.200><c> dans</c><00:02:21.319><c> son</c>
141.55,0.009999999999990905,bonnes décisions à être acteur dans son
141.56,1.4699999999999989,bonnes décisions à être acteur dans son éducation<00:02:22.080><c> tu</c><00:02:22.160><c> vas</c><00:02:22.360><c> voir</c><00:02:22.519><c> c'est</c><00:02:22.680><c> un</c><00:02:22.760><c> truc</c><00:02:22.959><c> de</c>
143.03,0.009999999999990905,éducation tu vas voir c'est un truc de
143.04,1.7900000000000205,éducation tu vas voir c'est un truc de dingue<00:02:23.360><c> c'est</c><00:02:23.560><c> trop</c><00:02:23.879><c> ouf</c><00:02:24.280><c> donc</c><00:02:24.440><c> bien</c><00:02:24.599><c> sûr</c><00:02:24.760><c> on</c>
144.83,0.009999999999990905,dingue c'est trop ouf donc bien sûr on
144.84,1.990000000000009,dingue c'est trop ouf donc bien sûr on va<00:02:24.959><c> commencer</c><00:02:25.319><c> par</c><00:02:25.400><c> des</c><00:02:25.599><c> étapes</c><00:02:26.000><c> trop</c><00:02:26.239><c> faciles</c>
146.83,0.009999999999990905,va commencer par des étapes trop faciles
146.84,1.5900000000000034,va commencer par des étapes trop faciles et<00:02:27.040><c> qu'est-ce</c><00:02:27.319><c> que</c><00:02:27.400><c> ça</c><00:02:27.519><c> va</c><00:02:27.640><c> faire</c><00:02:27.959><c> bien</c><00:02:28.200><c> ça</c><00:02:28.280><c> va</c>
148.43,0.009999999999990905,et qu'est-ce que ça va faire bien ça va
148.44,1.9099999999999966,et qu'est-ce que ça va faire bien ça va redonner<00:02:28.920><c> confiance</c><00:02:29.519><c> au</c><00:02:29.840><c> au</c><00:02:30.000><c> chien</c><00:02:30.200><c> en</c>
150.35,0.010000000000019327,redonner confiance au au chien en
150.36,2.309999999999974,redonner confiance au au chien en lui-même<00:02:30.800><c> ça</c><00:02:30.920><c> va</c><00:02:31.200><c> recréer</c><00:02:31.720><c> de</c><00:02:31.800><c> la</c><00:02:31.920><c> relation</c><00:02:32.519><c> et</c>
152.67,0.010000000000019327,lui-même ça va recréer de la relation et
152.68,2.3499999999999943,lui-même ça va recréer de la relation et puis<00:02:32.840><c> ça</c><00:02:32.920><c> va</c><00:02:33.040><c> lui</c><00:02:33.200><c> donner</c><00:02:33.480><c> envie</c><00:02:34.040><c> de</c><00:02:34.280><c> proposer</c>
155.03,0.009999999999990905,puis ça va lui donner envie de proposer
155.04,1.950000000000017,puis ça va lui donner envie de proposer de<00:02:35.200><c> prendre</c><00:02:35.599><c> des</c><00:02:35.840><c> bonnes</c><00:02:36.239><c> décisions</c><00:02:36.680><c> et</c><00:02:36.840><c> là</c>
156.99,0.009999999999990905,de prendre des bonnes décisions et là
157.0,2.069999999999993,de prendre des bonnes décisions et là toi<00:02:37.200><c> tu</c><00:02:37.280><c> vas</c><00:02:37.480><c> pouvoir</c><00:02:38.120><c> renforcer</c><00:02:38.599><c> ces</c><00:02:38.800><c> bonnes</c>
159.07,0.010000000000019327,toi tu vas pouvoir renforcer ces bonnes
159.08,1.9099999999999966,toi tu vas pouvoir renforcer ces bonnes décisions<00:02:39.720><c> alors</c><00:02:39.959><c> ça</c><00:02:40.120><c> va</c><00:02:40.319><c> te</c><00:02:40.440><c> demander</c><00:02:40.800><c> aussi</c>
160.99,0.009999999999990905,décisions alors ça va te demander aussi
161.0,1.3089999999999975,décisions alors ça va te demander aussi un<00:02:41.080><c> petit</c><00:02:41.200><c> peu</c><00:02:41.360><c> de</c><00:02:41.440><c> dextérité</c><00:02:42.120><c> et</c>
162.309,0.009999999999990905,un petit peu de dextérité et
162.319,2.070999999999998,un petit peu de dextérité et d'observation<00:02:43.239><c> parce</c><00:02:43.480><c> que</c><00:02:43.560><c> c'est</c><00:02:43.840><c> hyper</c>
164.39,0.010000000000019327,d'observation parce que c'est hyper
164.4,1.509999999999991,d'observation parce que c'est hyper important<00:02:44.800><c> de</c><00:02:44.879><c> voir</c><00:02:45.080><c> comment</c><00:02:45.280><c> on</c><00:02:45.519><c> fait</c><00:02:45.800><c> pour</c>
165.91,0.009999999999990905,important de voir comment on fait pour
165.92,1.7900000000000205,important de voir comment on fait pour récompenser<00:02:46.480><c> telle</c><00:02:46.840><c> ou</c><00:02:46.920><c> telle</c><00:02:47.159><c> décision</c><00:02:47.599><c> bien</c>
167.71,0.009999999999990905,récompenser telle ou telle décision bien
167.72,1.6299999999999955,récompenser telle ou telle décision bien sûr<00:02:47.879><c> il</c><00:02:48.000><c> y</c><00:02:48.120><c> a</c><00:02:48.239><c> des</c><00:02:48.319><c> prérequis</c><00:02:49.000><c> pour</c><00:02:49.120><c> toute</c>
169.35,0.010000000000019327,sûr il y a des prérequis pour toute
169.36,1.7099999999999795,sûr il y a des prérequis pour toute cette<00:02:49.560><c> méthode</c><00:02:49.879><c> qui</c><00:02:50.000><c> est</c><00:02:50.159><c> extraordinaire</c><00:02:51.000><c> la</c>
171.07,0.010000000000019327,cette méthode qui est extraordinaire la
171.08,1.5089999999999861,cette méthode qui est extraordinaire la première<00:02:51.440><c> ça</c><00:02:51.519><c> va</c><00:02:51.680><c> être</c><00:02:51.840><c> d'être</c><00:02:52.120><c> en</c><00:02:52.239><c> méthode</c>
172.589,0.009999999999990905,première ça va être d'être en méthode
172.599,2.511000000000024,première ça va être d'être en méthode positive<00:02:53.280><c> donc</c><00:02:53.480><c> d'utiliser</c><00:02:54.360><c> le</c><00:02:54.480><c> renforcement</c>
175.11,0.009999999999990905,positive donc d'utiliser le renforcement
175.12,2.6699999999999875,positive donc d'utiliser le renforcement positif<00:02:55.680><c> et</c><00:02:56.159><c> la</c><00:02:56.280><c> punition</c><00:02:56.760><c> négative</c><00:02:57.519><c> sans</c>
177.79,0.010000000000019327,positif et la punition négative sans
177.8,1.75,positif et la punition négative sans jamais<00:02:58.159><c> jamais</c><00:02:58.480><c> jamais</c><00:02:58.879><c> utiliser</c><00:02:59.280><c> quelque</c>
179.55,0.009999999999990905,jamais jamais jamais utiliser quelque
